62,73,96
11,99,56
74,11,100
44,89,25
13,93,73
83,67,4
62,50,48
8,65,54
89,93,71
58,76,31
77,70,71
66,38,73
78,36,40
0,0,23
82,98,21
33,99,53
96,38,0
11,84,82
3,42,5
66,67,51
20,93,71
38,32,71
61,85,32
83,16,98
12,90,86
92,59,34
20,24,34
10,59,59
87,8,16
82,92,66
10,80,85
26,100,98
70,90,55
20,96,70
84,5,50
6,86,43
46,64,93
36,53,9
15,61,35
82,12,67
40,80,84
19,24,0
19,17,74
16,28,15
5,23,83
52,92,11
87,44,28
17,99,44
87,74,33
26,82,61
96,10,85
51,91,80
75,46,6
49,17,37
46,46,38
14,14,59
39,0,42
40,74,84
12,21,79
74,54,17
77,96,99
39,61,33
38,47,52
35,51,2
27,95,16
45,67,87
56,48,75
66,41,15
84,7,72
83,94,76
84,80,84
25,30,94
96,75,62
81,30,79
39,88,54
97,4,21
5,70,28
31,80,72
87,35,81
37,43,41
